timestamp,G1,G2,G3,G4,G5,G6,total,label
1970-01-01 00:07:47,0,0,0,0,0,1,1,LOW
1970-01-01 00:07:48,1,0,0,0,0,0,1,LOW
1970-01-01 00:07:50,0,0,1,0,0,0,1,LOW
1970-01-01 00:07:51,0,1,0,1,0,0,2,LOW
1970-01-01 00:07:54,0,0,0,0,1,0,1,LOW
1970-01-01 00:08:00,1,1,1,0,0,0,3,MEDIUM
1970-01-01 00:08:02,0,0,0,0,0,1,1,LOW
1970-01-01 00:08:03,0,0,0,1,0,0,1,LOW
1970-01-01 00:08:11,1,0,0,0,0,0,1,LOW
1970-01-01 00:08:12,0,1,0,0,1,0,2,LOW
1970-01-01 00:08:13,0,0,1,0,0,0,1,LOW
1970-01-01 00:08:14,0,0,0,1,0,0,1,LOW
1970-01-01 00:08:15,0,0,0,0,0,1,1,LOW
1970-01-01 00:08:21,1,1,0,0,0,0,2,LOW
1970-01-01 00:08:22,0,0,1,0,1,0,2,LOW
1970-01-01 00:08:27,0,0,0,1,0,0,1,LOW
1970-01-01 00:08:30,0,1,0,0,0,0,1,LOW
1970-01-01 00:08:31,1,0,0,0,0,0,1,LOW
1970-01-01 00:08:32,0,0,1,0,0,0,1,LOW
1970-01-01 00:08:35,0,0,0,0,1,0,1,LOW
1970-01-01 00:08:40,0,0,0,1,0,0,1,LOW
1970-01-01 00:08:41,1,1,0,0,0,0,2,LOW
1970-01-01 00:08:43,0,0,1,0,0,0,1,LOW
1970-01-01 00:08:50,1,0,0,1,0,0,2,LOW
1970-01-01 00:08:51,0,1,0,0,0,0,1,LOW
1970-01-01 00:08:52,0,0,1,0,1,0,2,LOW
1970-01-01 00:08:57,0,0,0,0,0,1,1,LOW
1970-01-01 00:09:00,0,1,0,0,0,0,1,LOW
1970-01-01 00:09:01,1,0,1,0,0,0,2,LOW
1970-01-01 00:09:04,0,0,0,0,1,0,1,LOW
1970-01-01 00:09:07,0,0,0,1,0,0,1,LOW
1970-01-01 00:09:10,0,1,0,0,0,0,1,LOW
1970-01-01 00:09:12,1,0,0,0,0,0,1,LOW
1970-01-01 00:09:14,0,0,1,0,0,0,1,LOW
1970-01-01 00:09:15,0,0,0,0,1,1,2,LOW
1970-01-01 00:09:16,0,0,0,1,0,0,1,LOW
1970-01-01 00:09:20,0,1,0,0,0,0,1,LOW
1970-01-01 00:09:21,1,0,0,0,0,0,1,LOW
1970-01-01 00:09:26,0,0,1,0,0,0,1,LOW
1970-01-01 00:09:29,0,1,0,0,0,0,1,LOW
1970-01-01 00:09:31,1,0,0,0,0,0,1,LOW
1970-01-01 00:09:33,0,0,0,0,0,1,1,LOW
1970-01-01 00:09:35,0,0,0,0,1,0,1,LOW
1970-01-01 00:09:36,0,0,1,0,0,0,1,LOW
1970-01-01 00:09:40,1,1,0,0,0,0,2,LOW
1970-01-01 00:09:47,0,0,0,1,1,0,2,LOW
1970-01-01 00:09:48,0,0,1,0,0,0,1,LOW
1970-01-01 00:09:49,1,0,0,0,0,0,1,LOW
1970-01-01 00:09:50,0,1,0,0,0,0,1,LOW
1970-01-01 00:09:52,0,0,0,0,0,1,1,LOW
1970-01-01 00:09:59,0,1,1,0,0,0,2,LOW
1970-01-01 00:10:00,1,0,0,0,0,0,1,LOW
1970-01-01 00:10:06,0,0,0,0,0,1,1,LOW
1970-01-01 00:10:08,0,0,1,0,0,0,1,LOW
1970-01-01 00:10:09,0,1,0,0,0,0,1,LOW
1970-01-01 00:10:10,1,0,0,0,0,0,1,LOW
1970-01-01 00:10:17,0,0,1,0,0,0,1,LOW
1970-01-01 00:10:18,0,1,0,0,0,0,1,LOW
1970-01-01 00:10:20,1,0,0,1,0,0,2,LOW
1970-01-01 00:10:27,0,1,0,0,0,0,1,LOW
1970-01-01 00:10:28,0,0,1,0,0,0,1,LOW
1970-01-01 00:10:30,0,0,0,0,1,0,1,LOW
1970-01-01 00:10:31,1,0,0,0,0,0,1,LOW
1970-01-01 00:10:34,0,0,0,0,0,1,1,LOW
1970-01-01 00:10:37,0,1,0,1,0,0,2,LOW
1970-01-01 00:10:38,0,0,1,0,0,0,1,LOW
1970-01-01 00:10:40,1,0,0,0,0,0,1,LOW
1970-01-01 00:10:44,0,0,0,0,0,1,1,LOW
1970-01-01 00:10:47,0,0,0,1,0,0,1,LOW
1970-01-01 00:10:48,0,1,1,0,1,0,3,MEDIUM
1970-01-01 00:10:50,1,0,0,0,0,0,1,LOW
1970-01-01 00:10:57,0,0,1,0,0,0,1,LOW
1970-01-01 00:10:58,0,1,0,0,0,0,1,LOW
1970-01-01 00:10:59,0,0,0,1,0,0,1,LOW
1970-01-01 00:11:00,1,0,0,0,1,0,2,LOW
1970-01-01 00:11:01,0,0,0,0,0,1,1,LOW
1970-01-01 00:11:07,0,0,1,0,0,0,1,LOW
1970-01-01 00:11:08,0,1,0,0,0,0,1,LOW
1970-01-01 00:11:10,1,0,0,0,0,0,1,LOW
